data;

set MONTHS := M1 M2 M3;
set TYPES := R1 R2 O1 O2 O3;

param PRICES1:  M1    M2    M3 :=
             R1   90    125   95
             R2   110   95    130
             O1   95    120   85
             O2   125   95    110
             O3   105   125   95;
             
param PRICES2:  M1    M2    M3 :=
             R1   120   90    115
             R2   95    115   110
             O1   120   100   125
             O2   80    120   90
             O3   130   100   125;
             
param PRICES3:  M1    M2    M3 :=
             R1   85    115   90
             R2   125   85    125
             O1   100   130   90
             O2   110   90    115
             O3   95    130   100;

param MAX_PRODUCTION := 
             R1  220
             R2  220
             O1  270
             O2  270
             O3  270;
